rep_id,omega,gamma,beta,c,convergence,rmse,mae,runtime
36,0.08626680408091124,0.08904580639051476,0.8581361018174705,0.7015100177364489,True,0.13246940571515559,0.12156248121538023,71.01060390472412
37,0.06958193306137855,0.11482903579838535,0.8841692168166934,1.1021618089393268,True,0.15425217783422168,0.1510852507237141,16.66634702682495
38,0.09239284363176588,0.09758198997942627,0.8428072479745188,0.8969577052504019,True,0.1485077750017303,0.14538786470296197,39.03233480453491
39,0.37856548797075174,0.2748999365368504,0.12593924399706077,1.33943866977932,True,0.09031632392135956,0.0771633703820524,254.49163699150085
40,0.06578706608903798,0.11660505732132717,0.8823938049862521,1.1440136582213503,True,0.131374457302716,0.1286973323828139,21.503127098083496
41,0.07488244999465857,0.11338776747994514,0.8839838830284148,0.6683321064735193,True,0.12881685489875774,0.09942011366980966,41.87625217437744
42,0.02797302651013109,0.02602860362974843,0.9466203077963677,9.99999375951093,True,0.18392787309517114,0.1781600670576979,70.2734067440033
43,0.2539496868416172,0.411637881474333,0.31106174498660216,1.0658050268835249,True,0.11461040633781584,0.08645865282321433,252.4825050830841
44,0.08050291535769617,0.12348224979439065,0.8705211181439076,0.6620738475935227,True,0.1246117114138072,0.09308313573290766,44.12788510322571
45,0.0709817463309601,0.11852776439716828,0.8804721477022672,1.025885839518484,True,0.14370872372120458,0.1390037289271792,45.912070989608765
46,0.06407377135428284,0.0927268704177924,0.9056141940036309,0.6926397211182671,True,0.13096101391305567,0.11342809853824806,45.9654483795166
47,0.11412401433048766,0.12073528281862697,0.7807385643168281,0.7477233448785326,True,0.10292244457916461,0.08710285359937903,58.98201107978821
48,0.17118694010106034,0.5118542877625144,0.486965708719493,1.1841212074079026,True,0.11568833488934045,0.09254282228080078,225.40439105033875
49,0.10914014955327256,0.08076262672605407,0.809462054263423,1.042013870459424,True,0.1693535872887556,0.16905058103915144,47.10187077522278
50,0.12773305940105995,0.2552568678060144,0.742750008992963,1.7880230501675947,True,0.12342129517841227,0.12201293031618259,83.99704098701477
51,0.17929942839843135,0.36141414507498376,0.6375857044229163,2.664235942781481,True,0.13791157798210377,0.136031779071359,51.74546003341675
52,0.06997154965184046,0.11478450517682556,0.8842154455064806,1.0991828511091557,True,0.15781891740317114,0.15487484312631325,19.983503103256226
53,0.0685751928659897,0.11652049603906212,0.8824794527265888,1.1402655386724143,True,0.14747609953343888,0.1451783468302626,39.30152893066406
54,0.07310635922335747,0.11051848590150742,0.8763743842112415,1.1360916551286389,True,0.15698090899626557,0.1550422663521224,20.604504108428955
55,0.06585121364894803,0.11698741123448264,0.8820108635947981,1.154727504425467,True,0.132492732101799,0.12976047305506663,38.458131074905396
56,0.07095608398589445,0.12293770137463765,0.8760621653206413,0.932594433867793,True,0.12019385738260681,0.11070934779518822,51.81360197067261
57,0.07577571615206932,0.12003944225118363,0.8789605100585314,0.801384419103718,True,0.13755284874759238,0.1212937028298785,49.6497528553009
58,0.06968869256945986,0.11466451922336987,0.8843299004010314,1.0977616495701503,True,0.15651619834068203,0.15354646491309729,17.357258796691895
59,0.06862353624634945,0.10490063075844548,0.8769724338983497,1.4533701177306773,True,0.15994962655942885,0.15908230908999374,47.807815074920654
60,0.0864196348567575,0.09020579379333668,0.8435128047047973,1.3278915422383066,True,0.16164853049281097,0.16104252660719443,31.509401082992554
