gamma1,distorted,axis,nu,eps,mean_loss_g2_1.0,mean_loss_g2_1.5,mean_loss_g2_2.0,mean_loss_g2_4.0
0.0,True,nu,3.0,1.0,0.325191934075521,0.3142702845028971,0.42660846470020203,8.844369108032687
0.5,True,nu,3.0,1.0,0.28067557298615137,0.26083366495160326,0.35119685685888885,7.228908420430379
1.0,True,nu,3.0,1.0,0.2319370634240497,0.1994805792409755,0.2567732232351568,4.670863489265371
1.5,True,nu,3.0,1.0,0.164940052330565,0.11232144987914505,0.11784207138437765,1.1548761676369177
2.0,True,nu,3.0,1.0,0.0011584752049222113,5.395476156320918e-05,3.0084079366200377e-06,1.3026299399747395e-10
-2.0,True,nu,5.0,1.0,0.3867148286816124,0.3825871480706118,0.4985456208944153,10.462005601168935
-1.0,True,nu,5.0,1.0,0.4111284126216212,0.38591659064316247,0.4749397953598636,10.197798396026721
0.0,True,nu,5.0,1.0,0.4087583405709596,0.35423125599626776,0.40008051439397424,8.376894950858729
0.5,True,nu,5.0,1.0,0.3533751904267491,0.2885133836565191,0.3144004454030902,6.6447195357378215
1.0,True,nu,5.0,1.0,0.2904462796453448,0.21605166800886746,0.21651186894182983,4.040620352036249
1.5,True,nu,5.0,1.0,0.18178866961591908,0.1091292680633273,0.09219687762408442,1.1035194348652657
2.0,True,nu,5.0,1.0,0.0011115113160245728,4.7701296032526e-05,2.3439474416633036e-06,6.472266551844014e-11
-2.0,True,nu,8.0,1.0,0.40307582550263876,0.37406367669701274,0.42600070586508704,2.676165311940597
-1.0,True,nu,8.0,1.0,0.3773951616410774,0.33953598526196876,0.3777486057170511,2.3489894487703347
0.0,True,nu,8.0,1.0,0.39892867129692094,0.33275354159289916,0.3338691131870995,1.6581042283135308
0.5,True,nu,8.0,1.0,0.35333303751347794,0.27387799860305456,0.25642786597288825,1.0786989137024503
1.0,True,nu,8.0,1.0,0.30051793029146884,0.20859844091993432,0.17195584552648055,0.48337536101752915
1.5,True,nu,8.0,1.0,0.18227375138792032,0.09878147190219373,0.0645348505001679,0.08796921279293309
2.0,True,nu,8.0,1.0,0.0017564845875210242,9.505906273971109e-05,5.834540422083822e-06,2.671833096865322e-10
-2.0,True,nu,inf,1.0,0.44070321885828045,0.4109819890742696,0.4463688297503956,1.4559831900331173
-1.0,True,nu,inf,1.0,0.4078762630620041,0.3681361056856633,0.38913175529837357,1.17166640805047
0.0,True,nu,inf,1.0,0.3826573322070153,0.3121427163041221,0.29775871030894013,0.7381292528023818
0.5,True,nu,inf,1.0,0.4038485094786756,0.3122414837540683,0.27253619634930365,0.47904260719233377
1.0,True,nu,inf,1.0,0.3240440372779476,0.220437922555039,0.16870436024911115,0.18724568546605092
1.5,True,nu,inf,1.0,0.19432405875689465,0.10154422809744713,0.05990903049731664,0.027509055227739432
2.0,True,nu,inf,1.0,0.001164207292059256,4.773812725380127e-05,2.113415375187195e-06,1.3432166512331981e-11
